Zipcode,State,State Cty,Tract,Tract GeoID,City Name,Zip Name,Population,Part PCT
94611,CA,6001,4001.0,6001400100,Alameda CA,"Oakland, CA",149,0.0037
94618,CA,6001,4001.0,6001400100,Alameda CA,"Oakland, CA",701,0.0414
94704,CA,6001,4001.0,6001400100,Alameda CA,"Berkeley, CA",122,0.0048
94705,CA,6001,4001.0,6001400100,Alameda CA,"Berkeley, CA",2042,0.1502
94720,CA,6001,4001.0,6001400100,Alameda CA,"Berkeley, CA",24,0.0032
94618,CA,6001,4002.0,6001400200,Alameda CA,"Oakland, CA",1952,0.1152
94705,CA,6001,4002.0,6001400200,Alameda CA,"Berkeley, CA",49,0.0036
94609,CA,6001,4003.0,6001400300,Alameda CA,"Oakland, CA",848,0.036
94618,CA,6001,4003.0,6001400300,Alameda CA,"Oakland, CA",4656,0.2748
94609,CA,6001,4004.0,6001400400,Alameda CA,"Oakland, CA",2344,0.0994
94618,CA,6001,4004.0,6001400400,Alameda CA,"Oakland, CA",1692,0.0998
94705,CA,6001,4004.0,6001400400,Alameda CA,"Berkeley, CA",76,0.0056
94609,CA,6001,4005.0,6001400500,Alameda CA,"Oakland, CA",3596,0.1525
94705,CA,6001,4005.0,6001400500,Alameda CA,"Berkeley, CA",48,0.0035
94609,CA,6001,4006.0,6001400600,Alameda CA,"Oakland, CA",1788,0.0758
94608,CA,6001,4007.0,6001400700,Alameda CA,"Oakland, CA",3316,0.1003
94609,CA,6001,4007.0,6001400700,Alameda CA,"Oakland, CA",1192,0.0506
94608,CA,6001,4008.0,6001400800,Alameda CA,"Oakland, CA",3917,0.1184
94608,CA,6001,4009.0,6001400900,Alameda CA,"Oakland, CA",2514,0.076
94608,CA,6001,4010.0,6001401000,Alameda CA,"Oakland, CA",4189,0.1267
94609,CA,6001,4010.0,6001401000,Alameda CA,"Oakland, CA",1908,0.0809
94609,CA,6001,4011.0,6001401100,Alameda CA,"Oakland, CA",4966,0.2106
94609,CA,6001,4012.0,6001401200,Alameda CA,"Oakland, CA",2408,0.1021
94611,CA,6001,4012.0,6001401200,Alameda CA,"Oakland, CA",481,0.0119
94618,CA,6001,4012.0,6001401200,Alameda CA,"Oakland, CA",100,0.0059
94609,CA,6001,4013.0,6001401300,Alameda CA,"Oakland, CA",2621,0.1112
94611,CA,6001,4013.0,6001401300,Alameda CA,"Oakland, CA",409,0.0102
94612,CA,6001,4013.0,6001401300,Alameda CA,"Oakland, CA",2857,0.1445
94607,CA,6001,4014.0,6001401400,Alameda CA,"Oakland, CA",55,0.0018
94608,CA,6001,4014.0,6001401400,Alameda CA,"Oakland, CA",2002,0.0605
94609,CA,6001,4014.0,6001401400,Alameda CA,"Oakland, CA",1907,0.0809
94612,CA,6001,4014.0,6001401400,Alameda CA,"Oakland, CA",1391,0.0703
